year,word,frequency
2024,from,22850
2024,grand,6629
2024,homicide,95
2024,human,80
2024,identity,6322
2024,illegal,2
2024,imprisonment,19
2024,incest,1
2024,inciting,1
2024,indecent,94
2024,inhabited,93
2024,innkeeper/theft,47
2024,insurance,4
2024,intimate,3790
2024,involuntary,11
2024,kidnapping,89
2024,"letters,",1258
2024,lewd,2585
2024,lewd/lascivious,7
2024,lynching,3
2024,machine,5
2024,minor,1
2024,miscellaneous,666
2024,misdeameanor,2386
2024,motor,13255
2024,moving,99
2024,mutual,68
2024,neglect,111
2024,obj,68
2024,object,120
2024,offender,38
2024,officer,57
2024,older),65
2024,one,29
2024,oral,39
2024,order,1226
2024,oth,29
2024,other,1961
2024,out,38
2024,over,8
2024,over),7532
2024,"over)excpt,guns,fowl,livestk,prod",6005
2024,"over,",7947
2024,owner,34
2024,pandering,16
2024,partner,3790
2024,peace,100
2024,peeping,36
2024,penetration,127
2024,penis,29
2024,pers,29
2024,person,299
2024,petty,25628
2024,phone,28
2024,pickpocket,1287
2024,"pickpocket,",1
2024,pimping,15
2024,plain,8860
2024,police,281
2024,pornography,25
2024,possession/bombing,2
2024,property,1
2024,prowler,16
2024,purse,6
2024,"rape,",211
2024,reckless,44
2024,registrant,38
2024,relatives),1
2024,replica,2
2024,report,28
2024,resisting,131
2024,restraining,828
2024,riot,1
2024,robbery,2827
2024,roll,13
2024,scare,66
2024,school,1
2024,"scooters,",1047
2024,"services,",47
2024,servitude,11
2024,sex,107
2024,"sex,unlawful(inc",68
2024,sexual,337
2024,shoplifting,9064
2024,shoplifting-grand,1354
2024,shots,131
2024,simple,8659
2024,snatching,6
2024,sodomy/sexual,29
2024,stalking,32
2024,stealing,41
2024,stolen,24350
2024,susp,65
2024,tap,3
2024,telephone,1259
2024,temporary,47
2024,the,100
2024,theft,39984
2024,"theft,",301
2024,theft-grand,6005
2024,threatening,28
2024,threats,1327
2024,throwing,61
2024,till,3
2024,tom,36
2024,trafficking,80
2024,train,39
2024,trespassing,5577
2024,unauthorized,22
2024,under,43
2024,under),28019
2024,use,8
2024,vandalism,10333
2024,vandalisms),7947
2024,vehicle,44926
2024,"vehicle,",1152
2024,violation,1226
2024,w.i.c.),111
2024,w/foreign,59
2024,weapon,2359
2024,"weapon,",3695
2024,weapons,2
2024,with,4037
2024,without,34
2024,worthless,2
2024,wrecking,1
2024,yield,331
2024,yrs,65
2025,($399,7
2025,($400,6
2025,($950,11
2025,($950.01,60
2025,(17yrs,4
2025,(motorized,38
2025,(see,4
2025,300,4
2025,aggravated,9
2025,all,6
2025,and,2
2025,annoying,4
2025,arson,3
2025,assault,46
2025,attempt,2
2025,battery,27
2025,"bikes,",38
2025,brandish,2
2025,burglary,11
2025,child,9
2025,church,6
2025,"consent,",1
2025,contact,1
2025,court,4
2025,crime,10
2025,criminal,11
2025,deadly,11
2025,displayed,11
2025,dumping,1
2025,etc),38
2025,exposure,4
2025,extortion,1
2025,felony,6
2025,forcible,1
2025,frgn,1
2025,from,11
2025,grand,2
2025,identity,1
2025,illegal,1
2025,indecent,4
2025,miscellaneous,10
2025,misdeameanor,7
2025,motor,7
2025,mutual,1
2025,neglect,4
2025,obj,1
2025,officer,2
2025,order,4
2025,other,48
2025,over),2
2025,"over)excpt,guns,fowl,livestk,prod",58
2025,"over,",6
2025,penetration,1
2025,person,1
2025,petty,11
2025,plain,5
2025,police,2
2025,pornography,1
2025,"rape,",1
2025,robbery,9
2025,"scooters,",38
2025,"sex,unlawful(inc",1
2025,sexual,1
2025,shoplifting,1
2025,simple,26
2025,stolen,99
2025,theft,15
2025,theft-grand,58
2025,threats,11
2025,trespassing,4
2025,under),22
2025,vandalism,13
2025,vandalisms),6
2025,vehicle,71
2025,"vehicle,",38
2025,violation,4
2025,w.i.c.),4
2025,weapon,15
2025,"weapon,",9
2025,with,12
